Condition,Condition_,Reverse,Affirm,Total,percent_affirm,Group
Horvat_Sainovic,Sympathetic_Affirm,0,25,25,1,GPT-4o
Horvat_Vasiljevic,Sympathetic_Reverse,5,20,25,0.8,GPT-4o
Vukovic_Sainovic,Unsympathetic_Affirm,1,24,25,0.96,GPT-4o
Vukovic_Vasiljevic,Unsympathetic_Reverse,7,18,25,0.72,GPT-4o
Horvat_Sainovic,Sympathetic_Affirm,7,4,11,0.36,Judges (Original)
Horvat_Vasiljevic,Sympathetic_Reverse,3,3,6,0.5,Judges (Original)
Vukovic_Sainovic,Unsympathetic_Affirm,0,7,7,1,Judges (Original)
Vukovic_Vasiljevic,Unsympathetic_Reverse,2,6,8,0.75,Judges (Original)
Horvat_Sainovic,Sympathetic_Affirm,6,4,10,0.4,Judges (Adjusted)
Horvat_Vasiljevic,Sympathetic_Reverse,1,5,6,0.83,Judges (Adjusted)
Vukovic_Sainovic,Unsympathetic_Affirm,0,7,7,1,Judges (Adjusted)
Vukovic_Vasiljevic,Unsympathetic_Reverse,1,7,8,0.88,Judges (Adjusted)
Horvat_Sainovic,Sympathetic_Affirm,2,21,23,0.91,Students
Horvat_Vasiljevic,Sympathetic_Reverse,8,12,20,0.6,Students
Vukovic_Sainovic,Unsympathetic_Affirm,2,23,25,0.92,Students
Vukovic_Vasiljevic,Unsympathetic_Reverse,9,14,23,0.61,Students
Total,Total,13,87,100,0.87,GPT-4o
Total,Total,8,23,31,0.74,Judges (Adjusted)
Total,Total,12,20,32,0.62,Judges (Original)
Total,Total,21,70,91,0.77,Students
Affirm,Affirm,1,49,50,0.98,GPT-4o
Reverse,Reverse,12,38,50,0.76,GPT-4o
Affirm,Affirm,6,11,17,0.65,Judges (Adjusted)
Reverse,Reverse,2,12,14,0.86,Judges (Adjusted)
Affirm,Affirm,7,11,18,0.61,Judges (Original)
Reverse,Reverse,5,9,14,0.64,Judges (Original)
Affirm,Affirm,4,44,48,0.92,Students
Reverse,Reverse,17,26,43,0.6,Students
Sympathetic,Sympathetic,5,45,50,0.9,GPT-4o
Unsympathetic,Unsympathetic,8,42,50,0.84,GPT-4o
Sympathetic,Sympathetic,7,9,16,0.56,Judges (Adjusted)
Unsympathetic,Unsympathetic,1,14,15,0.93,Judges (Adjusted)
Sympathetic,Sympathetic,10,7,17,0.41,Judges (Original)
Unsympathetic,Unsympathetic,2,13,15,0.87,Judges (Original)
Sympathetic,Sympathetic,10,33,43,0.77,Students
Unsympathetic,Unsympathetic,11,37,48,0.77,Students
